Name ID Coverage,Years
Afghanistan,1789–2022
Albania,1912–2022
Algeria,1900–2022
Angola,1900–2022
Argentina,1789–2022
Armenia,1990–2022
Australia,1789–2022
Austria,1789–2022
Azerbaijan,1990–2022
Baden,1789–1871
Bahrain,1900–2022
Bangladesh,1971–2022
Barbados,1900–2022
Bavaria,1789–1871
Belarus,1990–2022
Belgium,1789–2022
Benin,1900–2022
Bhutan,1900–2022
Bolivia,1825–2022
Bosnia and Herzegovina,1992–2022
Botswana,1900–2022
Brazil,1789–2022
Brunswick,1789–1867
Bulgaria,1878–2022
Burkina Faso,1919–2022
Burma/Myanmar,1789–2022
Burundi,1916–2022
Cambodia,1900–2022
Cameroon,1961–2022
Canada,1841–2022
Cape Verde,1900–2022
Central African Republic,1920–2022
Chad,1920–2022
Chile,1789–2022
China,1789–2022
Colombia,1789–2022
Comoros,1900–2022
Costa Rica,1838–2022
Croatia,1941–2022
Cuba,1789–2022
Cyprus,1900–2022
Czechia,1918–2022
Democratic Republic of the Congo,1900–2022
Denmark,1789–2022
Djibouti,1900–2022
Dominican Republic,1789–2022
Ecuador,1830–2022
Egypt,1789–2022
El Salvador,1838–2022
Equatorial Guinea,1900–2022
Eritrea,1900–2022
Estonia,1918–2022
Eswatini,1900–2022
Ethiopia,1789–2022
Fiji,1900–2022
Finland,1809–2022
France,1789–2022
Gabon,1910–2022
Georgia,1990–2022
German Democratic Republic,1949–1990
Germany,1789–2022
Ghana,1902–2022
Greece,1822–2022
Guatemala,1789–2022
Guinea,1900–2022
Guinea-Bissau,1900–2022
Guyana,1900–2022
Haiti,1789–2022
Hamburg,1789–1867
Hanover,1789–1866
Hesse-Darmstadt,1789–1866
Hesse-Kassel,1789–1866
Honduras,1838–2022
Hong Kong,1900–2022
Hungary,1789–2022
Iceland,1900–2022
India,1789–2022
Indonesia,1800–2022
Iran,1789–2022
Iraq,1920–2022
Ireland,1919–2022
Israel,1948–2022
Italy,1861–2022
Ivory Coast,1900–2022
Jamaica,1900–2022
Japan,1789–2022
Jordan,1922–2022
Kazakhstan,1990–2022
Kenya,1900–2022
Kosovo,1999–2022
Kuwait,1789–2022
Kyrgyzstan,1990–2022
Laos,1900–2022
Latvia,1920–2022
Lebanon,1918–2022
Lesotho,1900–2022
Liberia,1821–2022
Libya,1789–2022
Lithuania,1918–2022
Luxembourg,1815–2022
Madagascar,1817–2022
Malawi,1900–2022
Malaysia,1900–2022
Maldives,1900–2022
Mali,1900–2022
Malta,1900–2022
Mauritania,1904–2022
Mauritius,1900–2022
Mecklenburg-Schwerin,1789–1867
Mexico,1789–2022
Modena,1789–1859
Moldova,1990–2022
Mongolia,1911–2022
Montenegro,1789–2022
Morocco,1789–2022
Mozambique,1900–2022
Namibia,1900–2022
Nassau,1806–1866
Nepal,1789–2022
Netherlands,1789–2022
New Zealand,1841–2022
Nicaragua,1838–2022
Niger,1922–2022
Nigeria,1914–2022
North Korea,1945–2022
North Macedonia,1991–2022
Norway,1789–2022
Oldenburg,1789–1867
Oman,1789–2022
Pakistan,1947–2022
Palestine/British Mandate,1918–1948
Palestine/Gaza,1948–2022
Palestine/West Bank,1948–2022
Panama,1903–2022
Papal States,1789–1870
Papua New Guinea,1900–2022
Paraguay,1811–2022
Parma,1789–1859
Peru,1789–2022
Philippines,1900–2022
Piedmont-Sardinia,1789–1861
Poland,1789–2022
Portugal,1789–2022
Qatar,1900–2022
Republic of the Congo,1903–2022
Republic of Vietnam,1802–1975
Romania,1789–2022
Russia,1789–2022
Rwanda,1916–2022
Sao Tome and Principe,1900–2022
Saudi Arabia,1789–2022
Saxe-Weimar-Eisenach,1809–1867
Saxony,1789–1867
Senegal,1904–2022
Serbia,1804–2022
Seychelles,1903–2022
Sierra Leone,1900–2022
Singapore,1867–2022
Slovakia,1939–2022
Slovenia,1989–2022
Solomon Islands,1900–2022
Somalia,1900–2022
Somaliland,1900–2022
South Africa,1900–2022
South Korea,1789–2022
South Sudan,2011–2022
South Yemen,1900–1990
Spain,1789–2022
Sri Lanka,1900–2022
Sudan,1900–2022
Suriname,1900–2022
Sweden,1789–2022
Switzerland,1789–2022
Syria,1918–2022
Taiwan,1900–2022
Tajikistan,1990–2022
Tanzania,1914–2022
Thailand,1789–2022
The Gambia,1900–2022
Timor-Leste,1900–2022
Togo,1916–2022
Trinidad and Tobago,1900–2022
Tunisia,1789–2022
Türkiye,1789–2022
Turkmenistan,1990–2022
Tuscany,1789–1861
Two Sicilies,1789–1860
Uganda,1900–2022
Ukraine,1990–2022
United Arab Emirates,1971–2022
United Kingdom,1789–2022
United States of America,1789–2022
Uruguay,1825–2022
Uzbekistan,1789–2022
Vanuatu,1906–2022
Venezuela,1789–2022
Vietnam,1945–2022
Würtemberg,1789–1871
Yemen,1789–2022
Zambia,1911–2022
Zanzibar,1856–2022
Zimbabwe,1900–2022
